FECHA,COVID_LLAMADOS,CASOS_SOSPECHOSOS,CASOS_DESCARTADOS_COVID,CASOS_TRASLADADOS,CASOS_DERIVADOS
22OCT2020:00:00:00,297,22,275,0,10
23OCT2020:00:00:00,316,20,296,1,6
24OCT2020:00:00:00,201,18,183,0,3
25OCT2020:00:00:00,167,12,155,0,1
26OCT2020:00:00:00,293,15,278,2,3
27OCT2020:00:00:00,289,13,276,2,3
28OCT2020:00:00:00,276,16,260,2,8
29OCT2020:00:00:00,242,4,238,1,2
30OCT2020:00:00:00,268,6,262,0,3
31OCT2020:00:00:00,100,10,90,0,5
01NOV2020:00:00:00,81,10,71,0,0
02NOV2020:00:00:00,295,11,284,1,3
03NOV2020:00:00:00,249,14,235,2,3
04NOV2020:00:00:00,226,10,216,0,5
05NOV2020:00:00:00,234,7,227,0,3
06NOV2020:00:00:00,218,11,207,1,2
07NOV2020:00:00:00,119,12,107,0,0
08NOV2020:00:00:00,112,20,92,0,0
09NOV2020:00:00:00,292,13,279,2,5
10NOV2020:00:00:00,244,8,236,0,3
11NOV2020:00:00:00,223,5,218,0,2
12NOV2020:00:00:00,225,10,215,1,4
13NOV2020:00:00:00,238,12,226,0,3
14NOV2020:00:00:00,117,11,106,0,1
15NOV2020:00:00:00,96,5,91,0,0
16NOV2020:00:00:00,332,13,319,1,6
17NOV2020:00:00:00,270,13,257,1,4
18NOV2020:00:00:00,260,15,245,1,6
19NOV2020:00:00:00,282,8,274,0,3
20NOV2020:00:00:00,235,6,229,0,2
21NOV2020:00:00:00,110,12,98,0,2
22NOV2020:00:00:00,102,12,90,0,1
23NOV2020:00:00:00,143,18,125,0,1
24NOV2020:00:00:00,250,6,244,0,3
25NOV2020:00:00:00,228,11,217,2,1
26NOV2020:00:00:00,174,8,166,0,3
27NOV2020:00:00:00,191,23,168,0,4
28NOV2020:00:00:00,97,6,91,0,1
29NOV2020:00:00:00,81,15,66,0,1
30NOV2020:00:00:00,187,11,176,0,2
01DEC2020:00:00:00,213,11,202,0,2
02DEC2020:00:00:00,168,11,157,0,6
03JUN2021:00:00:00,683,36,647,0,4
04JUN2021:00:00:00,634,21,613,0,4
05JUN2021:00:00:00,523,29,494,0,1
06JUN2021:00:00:00,457,37,420,0,3
07JUN2021:00:00:00,595,22,573,0,2
08JUN2021:00:00:00,568,31,537,0,7
09JUN2021:00:00:00,570,31,539,0,6
10JUN2021:00:00:00,502,26,476,0,3
11JUN2021:00:00:00,489,20,469,0,4
12JUN2021:00:00:00,293,30,263,0,2
13JUN2021:00:00:00,251,18,233,0,2
14JUN2021:00:00:00,557,19,538,0,1
15JUN2021:00:00:00,501,31,470,0,12
16JUN2021:00:00:00,478,22,456,0,6
